#  "Lp" from Roys wish filter list, July 2018
# Wavelength  Throughput
#   [micron]  [dim-less]
      4.2584      0.0100
      4.2593      0.0100
      4.2602      0.0100
      4.2610      0.0100
      4.2619      0.0100
      4.2628      0.0100
      4.2637      0.0100
      4.2646      0.0100
      4.2655      0.0100
      4.2664      0.0100
      4.2672      0.0100
      4.2681      0.0100
      4.2690      0.0100
      4.2699      0.0100
      4.2708      0.0063
      4.2717      0.0022
      4.2726      0.0000
      4.2734      0.0000
